idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
1115	55.5535	40.9513	58.6722	4.0	3.998	-0.139444623	-0.140056636	-0.000612013	-0.3840
1116	62.9285	40.2050	52.7084	5.0	4.997	-0.130338710	-0.130384782	-0.000046071	-0.0289
1117	50.4868	28.2037	56.4040	5.0	4.996	-0.092275074	-0.092982845	-0.000707771	-0.4441
1118	62.2072	39.4751	53.0206	4.0	3.998	-0.147825973	-0.148031515	-0.000205542	-0.1290
1119	52.0819	35.2716	53.8067	3.0	2.995	-0.134748779	-0.136152993	-0.001404215	-0.8812
1120	62.5491	31.1894	48.0081	4.0	3.996	-0.129974392	-0.126225815	0.003748577	2.3523
1121	60.5814	27.1241	56.0985	3.0	2.996	-0.153505157	-0.152268009	0.001237149	0.7763
1122	63.2564	25.6148	53.7409	5.0	4.997	-0.121363479	-0.118940203	0.002423276	1.5206
1123	67.0045	35.3631	51.9305	5.0	4.997	-0.125664287	-0.123996835	0.001667452	1.0463
1124	58.6806	30.9695	48.7378	4.0	4.027	-0.140434246	-0.137288656	0.003145589	1.9739
1125	48.9876	31.8345	56.3828	5.0	4.997	-0.094605535	-0.095306476	-0.000700941	-0.4398
1126	65.7914	36.2928	56.3541	4.0	3.999	-0.146824676	-0.146719597	0.000105079	0.0659
1127	54.9946	27.2243	58.9487	4.0	3.996	-0.110137203	-0.111715024	-0.001577820	-0.9901
1128	60.2633	28.5094	49.3703	4.0	3.997	-0.133973980	-0.130086532	0.003887448	2.4394
1129	57.9411	39.3679	60.2060	3.0	2.999	-0.163409405	-0.164373190	-0.000963786	-0.6048
1130	50.2009	34.3725	58.3135	5.0	4.997	-0.109482518	-0.110594107	-0.001111589	-0.6975
1131	53.8412	28.2408	55.9229	3.0	3.016	-0.117039437	-0.118342098	-0.001302661	-0.8174
1132	64.2986	37.8165	59.8426	4.0	3.996	-0.134577456	-0.135809701	-0.001232245	-0.7732
1133	57.9196	41.1867	57.3032	3.0	2.997	-0.157343751	-0.157771303	-0.000427552	-0.2683
1134	63.4218	27.5367	54.9496	3.0	2.995	-0.156963112	-0.153416707	0.003546405	2.2254
1135	55.2480	31.5720	61.9474	4.0	4.001	-0.126699168	-0.130472572	-0.003773404	-2.3678
1136	56.5959	29.9883	48.4109	5.0	4.999	-0.119678642	-0.117994158	0.001684484	1.0570
1137	49.2429	30.2896	56.1680	5.0	4.996	-0.092056939	-0.092716135	-0.000659196	-0.4137
1138	54.0600	37.4743	48.8940	5.0	4.997	-0.109098472	-0.109164295	-0.000065823	-0.0413
1139	64.3934	36.8840	60.3641	4.0	3.994	-0.134605536	-0.135932647	-0.001327111	-0.8328
1140	53.5551	27.1278	59.4417	5.0	4.996	-0.099591112	-0.100920545	-0.001329434	-0.8342
1141	55.8572	25.8551	59.1760	5.0	4.997	-0.102963975	-0.104070590	-0.001106615	-0.6944
1142	62.3037	38.5977	54.1773	3.0	2.996	-0.171310668	-0.171902018	-0.000591350	-0.3711
1143	52.4577	34.0514	61.4872	5.0	4.998	-0.117093139	-0.119169863	-0.002076724	-1.3032
1144	54.8704	34.9045	49.7223	3.0	2.998	-0.131800420	-0.131550192	0.000250228	0.1570
1145	57.1712	29.2929	50.0378	4.0	3.997	-0.137445081	-0.135025585	0.002419496	1.5183
1146	58.1656	25.4603	58.6072	5.0	4.997	-0.110124381	-0.110827191	-0.000702810	-0.4410
1147	53.1572	37.6345	58.9229	3.0	2.998	-0.149195182	-0.150392054	-0.001196871	-0.7510
1148	62.9156	37.9590	62.1953	5.0	4.997	-0.122664447	-0.124004560	-0.001340113	-0.8409
1149	50.4279	33.6565	52.9152	4.0	3.997	-0.108323715	-0.109104521	-0.000780805	-0.4900
1150	60.5223	25.4363	53.7712	5.0	4.997	-0.123680817	-0.121754967	0.001925851	1.2085
1151	56.3427	37.5209	61.1744	3.0	2.995	-0.160057978	-0.162067905	-0.002009927	-1.2612
1152	50.0465	33.3813	54.1249	4.0	3.997	-0.106717498	-0.107456301	-0.000738803	-0.4636
