row	idx	x	y	z	shell	standoff
420	420	58.2942	40.3714	59.3203	3.0	2.998
421	421	67.0054	31.3411	53.3997	4.0	3.998
422	422	66.5155	31.7053	51.0033	4.0	3.996
423	423	67.0395	33.3872	55.5329	4.0	3.998
424	424	64.4966	31.4410	48.7426	4.0	3.996
425	425	52.3809	35.4561	55.9262	3.0	3.009
426	426	67.7798	32.6527	51.5481	5.0	4.997
427	427	56.0932	40.8891	61.0751	5.0	4.998
428	428	51.1472	38.5611	58.6595	5.0	4.998
429	429	66.0237	31.3383	59.1090	4.0	3.998
430	430	54.6490	33.0969	48.7708	4.0	3.998
431	431	62.4908	35.8818	50.6785	3.0	2.995
432	432	65.7893	29.6176	55.6033	3.0	2.995
433	433	67.5630	34.7430	55.7331	5.0	4.998
434	434	56.6307	41.8791	56.3067	4.0	3.998
435	435	66.4244	36.8764	58.8826	5.0	4.996
436	436	66.6757	30.2550	52.5579	4.0	3.996
437	437	64.8374	38.0174	58.6590	4.0	3.997
438	438	66.3326	34.4715	57.1280	4.0	3.997
439	439	60.7708	38.9590	49.5444	5.0	4.995
440	440	58.2550	26.0579	56.0975	4.0	3.997
441	441	63.8867	26.6757	50.6154	5.0	4.998
442	442	58.8166	32.2345	49.3603	3.0	3.000
443	443	57.4003	39.0247	62.7402	5.0	4.996
444	444	57.3294	31.2255	63.8251	5.0	4.998
445	445	64.6899	30.8049	58.9271	3.0	2.994
446	446	55.7298	40.0969	53.3896	4.0	3.996
447	447	59.1821	38.5792	60.7215	3.0	2.997
448	448	49.8797	31.8389	54.4626	4.0	3.997
449	449	53.4335	37.4509	51.3153	4.0	3.996
450	450	59.5256	29.4226	47.7672	5.0	4.996
451	451	61.9689	25.7763	51.8630	5.0	4.997
452	452	58.2957	32.8468	63.3267	4.0	3.998
453	453	59.6906	29.0077	50.6371	3.0	2.997
454	454	60.1693	27.7359	50.2775	4.0	3.997
455	455	51.0099	38.5924	56.0189	5.0	4.999
456	456	58.8134	31.9390	64.1312	5.0	4.999
457	457	67.6920	31.1923	51.4056	5.0	4.996
458	458	66.2970	36.6745	53.5456	5.0	4.998
459	459	63.7651	37.5183	52.7103	4.0	3.996
460	460	50.3536	31.8292	52.7955	4.0	3.996
461	461	56.1884	27.0331	60.8213	5.0	4.998
462	462	62.6343	31.3480	62.8588	5.0	4.998
463	463	65.9085	28.4324	53.8901	4.0	3.996
464	464	64.4044	28.0364	55.2422	3.0	2.996
465	465	65.2717	26.7912	52.8073	5.0	4.997
466	466	52.9488	34.6388	49.9993	4.0	3.999
467	467	54.1787	33.3062	59.9250	3.0	2.996
468	468	54.9956	30.6647	50.2820	3.0	2.997
469	469	57.1022	38.4759	51.7598	3.0	2.996
470	470	62.6829	39.3382	59.6718	4.0	4.015
471	471	56.4803	39.5052	62.3928	5.0	4.997
472	472	65.3099	32.1445	49.3263	4.0	3.995
473	473	61.5910	28.3703	58.7064	3.0	3.021
474	474	65.1348	39.5301	57.9668	5.0	4.997
475	475	64.9160	38.6959	53.5520	5.0	4.996
476	476	51.4410	37.4482	60.2897	5.0	4.996
477	477	60.0842	40.8087	60.1697	4.0	3.997
478	478	60.8290	27.4160	53.9056	3.0	2.998
479	479	55.7138	30.8988	63.1551	5.0	4.996
480	480	56.4152	27.1674	55.0979	3.0	2.999
481	481	53.6064	40.1062	55.6506	4.0	3.996
482	482	53.7809	34.8876	60.1923	3.0	2.998
483	483	55.7298	35.3619	49.3860	3.0	2.995
484	484	59.0254	40.3089	52.2741	4.0	3.997
485	485	52.8358	28.5264	51.7983	4.0	3.999
486	486	65.8829	30.5681	50.3167	4.0	3.997
487	487	57.1605	29.4662	62.6927	5.0	4.997
488	488	53.1461	36.1756	59.5912	3.0	2.998
489	489	58.1148	42.2773	56.9627	4.0	3.997
490	490	62.2875	41.4928	53.5412	5.0	4.997
491	491	68.0047	31.5392	52.7319	5.0	4.998
492	492	51.3159	35.6149	56.4327	4.0	4.024
493	493	50.3744	36.1413	52.9887	5.0	4.999
494	494	56.0550	33.5898	47.0995	5.0	4.997
495	495	51.6655	32.3533	57.5965	3.0	2.995
496	496	63.2663	31.1766	59.8430	3.0	2.995
497	497	60.0735	29.3985	61.2799	4.0	3.996
498	498	58.2823	34.0300	48.0612	4.0	4.013
499	499	54.6837	39.7644	57.6525	3.0	2.996
500	500	62.8681	28.3267	59.8267	4.0	3.997
501	501	65.6966	35.1684	58.5660	4.0	3.996
502	502	54.7940	28.7527	49.1054	5.0	4.997
503	503	66.5682	33.0412	58.0201	4.0	3.996
504	504	62.2022	39.8256	57.0581	3.0	2.995
505	505	62.4851	40.4539	54.4833	4.0	3.997
506	506	65.2778	27.4455	55.2083	4.0	3.997
507	507	52.0423	39.7963	55.0429	5.0	4.996
508	508	53.5205	28.0225	50.1502	5.0	4.997
509	509	54.0922	31.2312	59.7382	3.0	2.994
510	510	61.0113	35.8918	48.4909	4.0	3.997
511	511	61.4342	25.2586	56.6316	5.0	5.024
512	512	65.8714	35.4139	55.0498	4.0	4.002
513	513	63.2572	30.1811	60.7000	4.0	3.997
