idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
219	64.2325	29.8247	58.8751	3.0	2.999	-0.154059773	-0.154252724	-0.000192951	-0.1211
220	62.8214	39.0233	56.4477	3.0	2.994	-0.164222742	-0.165728310	-0.001505568	-0.9448
221	51.6727	32.8513	52.2017	3.0	2.997	-0.118107635	-0.118961295	-0.000853660	-0.5357
222	60.7855	29.0593	59.7877	3.0	2.993	-0.148428332	-0.151583647	-0.003155315	-1.9800
223	59.8297	43.2550	56.5173	5.0	4.997	-0.119156836	-0.119704262	-0.000547426	-0.3435
224	53.4334	33.8264	59.1774	3.0	2.996	-0.152147723	-0.155388981	-0.003241258	-2.0339
225	58.4312	26.6955	60.6315	5.0	4.995	-0.110210707	-0.111909477	-0.001698770	-1.0660
226	63.1990	26.8662	49.8524	5.0	4.996	-0.116950450	-0.113409086	0.003541363	2.2222
227	56.5612	32.3234	61.8036	3.0	2.995	-0.142421980	-0.148724565	-0.006302584	-3.9549
228	60.6134	40.8817	55.6422	3.0	2.997	-0.157623974	-0.158421816	-0.000797842	-0.5007
229	62.0097	32.8049	48.9149	3.0	2.997	-0.153875897	-0.149229217	0.004646679	2.9158
230	50.1104	29.6739	52.2491	5.0	4.996	-0.092895290	-0.093194113	-0.000298823	-0.1875
231	60.0004	24.9756	56.8008	5.0	4.998	-0.114279607	-0.113796884	0.000482723	0.3029
232	63.2391	28.3184	51.5738	3.0	2.996	-0.156238364	-0.149624783	0.006613581	4.1501
233	56.7909	39.0399	50.7083	4.0	3.996	-0.132831100	-0.132940967	-0.000109868	-0.0689
234	60.0082	37.8211	51.2645	3.0	2.997	-0.159097704	-0.158660054	0.000437650	0.2746
235	58.6443	32.3806	47.1989	5.0	4.996	-0.121082666	-0.118739422	0.002343245	1.4704
236	54.8578	41.2889	60.0009	5.0	4.997	-0.121091352	-0.121977831	-0.000886480	-0.5563
237	66.0746	32.9683	54.9259	3.0	2.995	-0.169932915	-0.166674152	0.003258763	2.0449
238	51.8759	29.6545	58.3508	4.0	3.996	-0.104644271	-0.105944813	-0.001300542	-0.8161
239	60.2280	42.7394	58.9039	5.0	4.997	-0.118965221	-0.119736599	-0.000771379	-0.4840
240	60.5244	29.7133	47.3776	5.0	4.996	-0.118045985	-0.114857145	0.003188839	2.0010
241	64.7013	29.7025	61.0650	5.0	4.997	-0.120272159	-0.121168377	-0.000896218	-0.5624
242	58.7344	26.3794	54.2881	4.0	3.999	-0.133528777	-0.131832008	0.001696769	1.0647
243	62.1080	39.9066	51.7861	5.0	4.998	-0.132103079	-0.131949285	0.000153793	0.0965
244	65.7050	27.8931	56.2983	4.0	3.998	-0.133560933	-0.131356442	0.002204491	1.3833
245	63.7300	26.0353	52.4437	5.0	4.997	-0.121495781	-0.118283512	0.003212269	2.0157
246	63.1487	32.6912	47.0648	5.0	4.997	-0.116984029	-0.114156320	0.002827710	1.7744
247	63.8535	33.5944	61.4488	4.0	4.004	-0.135107134	-0.137385582	-0.002278448	-1.4297
248	57.9280	38.9664	48.9976	5.0	4.997	-0.118063515	-0.117699766	0.000363749	0.2283
249	60.6077	41.0569	61.1921	5.0	4.997	-0.121142762	-0.122346580	-0.001203818	-0.7554
250	54.6696	29.8651	59.7637	3.0	2.996	-0.123933919	-0.127209899	-0.003275980	-2.0557
251	64.2032	37.6466	50.9004	5.0	5.001	-0.131823248	-0.130782718	0.001040530	0.6529
252	53.7698	29.5955	61.6188	5.0	4.997	-0.105039574	-0.107426763	-0.002387189	-1.4980
253	52.4573	35.7189	58.0975	3.0	2.997	-0.148602308	-0.150287411	-0.001685103	-1.0574
254	63.4467	26.7491	57.3120	4.0	3.996	-0.132430567	-0.131280405	0.001150162	0.7217
255	62.2019	27.5582	57.3164	3.0	2.995	-0.153379237	-0.152534384	0.000844853	0.5302
256	56.9535	26.3043	52.1257	5.0	4.998	-0.117681665	-0.116198636	0.001483029	0.9306
257	64.7296	31.2672	50.2673	3.0	2.996	-0.152934429	-0.146944236	0.005990193	3.7589
258	60.6572	25.1926	55.1726	5.0	4.998	-0.120862003	-0.119392853	0.001469150	0.9219
259	58.1488	42.6988	59.3118	5.0	4.998	-0.119943728	-0.120690425	-0.000746697	-0.4686
260	67.0190	30.9231	50.0255	5.0	4.998	-0.117495912	-0.114284627	0.003211285	2.0151
261	58.1289	37.4985	47.9367	5.0	4.997	-0.115909648	-0.115124862	0.000784786	0.4925
262	54.8634	40.1165	51.9801	5.0	4.996	-0.125125227	-0.125619107	-0.000493880	-0.3099
263	59.6991	41.6739	52.2797	5.0	4.996	-0.124642117	-0.124854802	-0.000212685	-0.1335
264	58.6307	27.9301	61.6606	5.0	4.996	-0.113676901	-0.116177426	-0.002500525	-1.5691
265	53.7845	31.2249	48.2317	5.0	4.997	-0.105758161	-0.105016806	0.000741355	0.4652
266	62.7643	37.4315	50.7128	4.0	3.996	-0.142932837	-0.141910563	0.001022274	0.6415
267	53.7260	29.0047	52.2789	3.0	2.998	-0.121030637	-0.121383400	-0.000352763	-0.2214
268	53.6037	38.5988	60.5309	4.0	3.997	-0.131882475	-0.133253376	-0.001370901	-0.8603
