idx	x	y	z	shell	standoff	nx	ny	nz
288	67.6228	28.9781	54.5547	5.0	4.998	0.9048	-0.4041	-0.1342
289	66.8102	33.7237	53.6372	4.0	3.999	0.9609	0.2665	0.0747
290	65.1676	36.4018	53.7313	4.0	4.008	0.7565	0.6493	-0.0787
291	57.2988	27.5386	52.0686	4.0	4.010	0.2054	-0.7850	-0.5845
292	54.4511	38.5474	49.5446	5.0	4.996	-0.4544	0.6515	-0.6075
293	58.7014	27.6731	51.7086	4.0	3.996	-0.5118	-0.8043	-0.3019
294	59.8387	40.4003	61.9246	5.0	4.996	0.1624	0.5604	0.8121
295	48.9262	32.9298	55.8086	5.0	4.998	-0.9845	0.1216	0.1263
296	64.2503	37.9172	53.7311	4.0	3.998	0.7258	0.5455	-0.4191
297	51.5694	37.6272	53.5993	5.0	5.004	-0.6925	0.6741	-0.2571
298	59.3053	39.2839	61.4877	4.0	3.995	0.0859	0.4457	0.8911
299	67.0099	30.1076	56.3274	4.0	3.999	0.9363	-0.3102	0.1647
300	61.9336	28.6794	47.8238	5.0	4.997	0.0685	-0.5103	-0.8573
301	58.2263	28.6518	59.6004	3.0	2.999	-0.2521	-0.5873	0.7691
302	64.1773	29.8374	60.2000	4.0	3.999	0.4396	-0.3304	0.8352
303	65.9996	26.7988	54.7248	5.0	4.998	0.6285	-0.7657	-0.1364
304	61.2480	26.5535	53.0822	4.0	3.998	0.0459	-0.9691	-0.2424
305	61.3590	37.4501	51.3146	3.0	2.994	0.4105	0.7781	-0.4755
306	54.8597	40.2373	54.3077	4.0	3.996	-0.3800	0.7977	-0.4682
307	66.7842	31.4099	57.8865	4.0	3.996	0.9047	-0.0519	0.4228
308	63.7954	37.9514	56.0590	3.0	2.996	0.7198	0.6619	-0.2092
309	52.7336	29.1952	51.0582	4.0	3.996	-0.5276	-0.6170	-0.5839
310	51.3788	33.4840	56.7046	3.0	2.995	-0.8602	0.3265	0.3917
311	67.1227	32.0962	49.9882	5.0	4.997	0.8447	-0.0044	-0.5352
312	53.9102	39.9949	59.1665	4.0	3.996	-0.5403	0.7439	0.3934
313	65.2750	31.1028	49.4171	4.0	3.997	0.6918	-0.1718	-0.7013
314	63.9879	39.2846	60.4725	5.0	4.997	0.5445	0.6479	0.5326
315	63.6647	27.0313	52.9362	4.0	3.997	0.4036	-0.9107	-0.0880
316	65.7227	29.4705	58.7113	4.0	3.999	0.6892	-0.4284	0.5843
317	58.5808	28.0859	49.1635	5.0	4.998	-0.4485	-0.6189	-0.6448
318	64.9955	27.7617	53.3907	4.0	4.000	0.5832	-0.7255	-0.3655
319	54.7091	27.4723	52.2649	4.0	3.996	-0.1721	-0.9006	-0.3991
320	56.4806	29.0488	48.8679	5.0	4.997	0.0965	-0.5133	-0.8528
321	65.7240	32.3723	57.7115	3.0	2.996	0.8766	0.1379	0.4611
322	51.2757	30.5758	51.5996	4.0	3.996	-0.7994	-0.3557	-0.4842
323	62.8768	35.9903	60.6458	3.0	2.993	0.5872	0.3395	0.7348
324	53.4805	32.2791	50.3804	3.0	2.997	-0.4635	-0.0376	-0.8853
325	60.5595	40.8618	57.5904	3.0	2.997	0.3673	0.8950	0.2532
326	59.5683	37.9949	49.8081	4.0	3.995	-0.0167	0.7435	-0.6686
327	64.6770	36.2473	58.0748	3.0	2.996	0.9466	0.2418	0.2134
328	52.5690	39.0941	55.7096	4.0	3.999	-0.7714	0.5774	-0.2675
329	65.0633	35.3484	59.9194	4.0	3.997	0.8161	0.0199	0.5776
330	58.0489	43.2851	56.2956	5.0	4.998	-0.1119	0.9916	-0.0643
331	59.6392	28.2222	59.4154	3.0	2.994	0.0517	-0.6937	0.7184
332	62.9559	27.8052	53.4287	3.0	3.009	0.2964	-0.9509	-0.0893
